generation,system_prompt,objective_score,target_logprob,target_rank,answer
13,"401, 098, 000, 690, 000, 425, 000, 654, 788, 326, 000, 934, 960, 141, 522, 015, 956, 180, 867, 838, 218, 385, 786, 954, 046, 194, 986, 098, 050, 101",-6.59375,,,
14,"401, 098, 242, 460, 000, 230, 000, 153, 947, 326, 000, 887, 773, 808, 174, 133, 893, 043, 130, 838, 237, 592, 786, 225, 197, 194, 075, 098, 500, 101",-6.453125,,,
15,"401, 098, 242, 460, 000, 230, 000, 153, 947, 326, 000, 887, 773, 808, 174, 133, 893, 043, 130, 838, 237, 592, 786, 225, 197, 194, 075, 098, 500, 101",-6.453125,,,
16,"401, 098, 000, 690, 000, 934, 767, 326, 015, 867, 000, 401, 216, 385, 244, 015, 771, 816, 401, 838, 613, 938, 551, 225, 428, 778, 075, 098, 098, 101",-6.390625,,,
17,"401, 098, 098, 130, 000, 894, 534, 153, 015, 867, 000, 409, 076, 738, 436, 763, 943, 075, 541, 388, 215, 296, 786, 200, 025, 173, 075, 098, 098, 101",-6.3046875,,,
18,"401, 098, 098, 130, 000, 894, 534, 153, 015, 867, 000, 409, 076, 738, 436, 763, 943, 075, 541, 388, 215, 296, 786, 200, 025, 173, 075, 098, 098, 101",-6.3046875,,,
19,"401, 098, 000, 464, 000, 145, 767, 285, 015, 867, 000, 401, 341, 867, 045, 015, 559, 836, 401, 983, 215, 658, 786, 225, 025, 025, 075, 098, 500, 101",-6.25,,,
20,"401, 098, 175, 130, 000, 230, 767, 653, 015, 578, 000, 276, 763, 230, 812, 015, 297, 045, 401, 159, 853, 786, 581, 225, 197, 218, 075, 098, 500, 101",-6.234375,,,
21,"401, 098, 000, 464, 000, 230, 767, 285, 015, 867, 000, 363, 753, 867, 522, 122, 893, 756, 401, 838, 215, 735, 786, 225, 197, 728, 075, 098, 500, 101",-6.1796875,,,
22,"401, 098, 175, 464, 000, 230, 767, 653, 015, 867, 000, 718, 763, 867, 522, 015, 256, 377, 401, 159, 853, 296, 786, 225, 025, 218, 075, 098, 500, 101",-6.109375,,,
23,"401, 098, 175, 464, 000, 230, 161, 653, 015, 867, 000, 401, 753, 867, 522, 425, 256, 377, 401, 290, 853, 757, 786, 225, 025, 218, 075, 098, 500, 101",-6.09375,,,
24,"401, 098, 175, 464, 000, 230, 000, 653, 748, 867, 000, 522, 674, 230, 943, 763, 786, 043, 401, 983, 215, 867, 786, 225, 197, 194, 075, 098, 500, 101",-6.03125,,,
25,"401, 098, 175, 464, 000, 230, 000, 653, 748, 867, 000, 522, 674, 230, 943, 763, 786, 043, 401, 983, 215, 867, 786, 225, 197, 194, 075, 098, 500, 101",-6.03125,-6.0625,21,
26,"401, 098, 175, 287, 000, 230, 767, 285, 015, 867, 000, 401, 753, 867, 522, 015, 010, 756, 401, 805, 215, 373, 786, 225, 197, 194, 075, 098, 500, 101",-6.0,,,
27,"401, 098, 175, 464, 000, 934, 767, 285, 015, 867, 000, 401, 753, 953, 607, 015, 425, 045, 401, 805, 218, 757, 786, 225, 197, 133, 075, 098, 500, 101",-5.9765625,,,
28,"401, 098, 175, 287, 000, 230, 736, 285, 015, 867, 000, 783, 763, 230, 943, 763, 786, 010, 401, 805, 215, 354, 786, 225, 197, 133, 075, 098, 500, 101",-5.9453125,,,
29,"401, 098, 175, 287, 000, 230, 736, 285, 015, 867, 000, 783, 763, 230, 943, 763, 786, 010, 401, 805, 215, 354, 786, 225, 197, 133, 075, 098, 500, 101",-5.9453125,,,
30,"401, 098, 175, 464, 000, 230, 767, 285, 015, 867, 000, 401, 753, 867, 943, 272, 425, 010, 850, 805, 853, 296, 786, 225, 197, 133, 075, 098, 500, 101",-5.9296875,,,
31,"401, 098, 175, 464, 000, 230, 767, 285, 015, 867, 000, 401, 763, 867, 943, 763, 786, 019, 401, 805, 388, 757, 786, 225, 197, 194, 075, 098, 500, 101",-5.9140625,,,
32,"401, 098, 175, 464, 000, 230, 767, 285, 015, 867, 000, 401, 763, 867, 943, 763, 786, 019, 401, 805, 388, 757, 786, 225, 197, 194, 075, 098, 500, 101",-5.9140625,,,
33,"401, 098, 175, 464, 000, 153, 767, 285, 015, 867, 000, 401, 753, 558, 522, 763, 256, 019, 401, 805, 215, 959, 786, 225, 197, 194, 075, 098, 500, 101",-5.8984375,,,
34,"401, 098, 175, 464, 000, 153, 767, 285, 015, 867, 000, 401, 753, 867, 943, 015, 353, 376, 401, 811, 215, 296, 959, 225, 195, 133, 075, 098, 035, 101",-5.875,,,
35,"401, 098, 175, 464, 000, 230, 767, 285, 015, 867, 000, 370, 753, 867, 943, 763, 786, 045, 401, 805, 853, 503, 786, 225, 197, 133, 075, 098, 500, 101",-5.859375,,,
36,"401, 098, 175, 464, 000, 230, 767, 285, 015, 867, 000, 370, 753, 867, 943, 763, 786, 045, 401, 805, 853, 503, 786, 225, 197, 133, 075, 098, 500, 101",-5.859375,,,
37,"401, 098, 180, 464, 000, 230, 767, 326, 015, 867, 000, 370, 753, 867, 427, 763, 786, 010, 401, 884, 235, 296, 786, 225, 197, 133, 075, 098, 500, 101",-5.8125,,,
38,"401, 098, 180, 464, 000, 153, 767, 653, 015, 867, 000, 370, 753, 867, 427, 763, 786, 010, 401, 805, 235, 800, 786, 225, 197, 133, 075, 098, 500, 101",-5.78125,,,
39,"401, 098, 180, 464, 000, 153, 767, 653, 015, 867, 000, 370, 753, 867, 427, 763, 786, 010, 401, 805, 235, 800, 786, 225, 197, 133, 075, 098, 500, 101",-5.78125,,,
40,"401, 098, 180, 464, 000, 153, 767, 653, 015, 867, 000, 370, 753, 867, 427, 763, 786, 010, 401, 805, 235, 800, 786, 225, 197, 133, 075, 098, 500, 101",-5.78125,,,
41,"401, 098, 180, 464, 000, 153, 767, 653, 015, 867, 000, 370, 753, 867, 427, 763, 786, 010, 401, 805, 235, 800, 786, 225, 197, 133, 075, 098, 500, 101",-5.78125,,,
42,"401, 098, 180, 464, 000, 153, 767, 653, 015, 867, 000, 370, 753, 867, 427, 763, 786, 010, 401, 805, 235, 800, 786, 225, 197, 133, 075, 098, 500, 101",-5.78125,,,
43,"401, 098, 180, 464, 000, 153, 767, 653, 015, 867, 000, 370, 753, 867, 427, 763, 786, 010, 401, 805, 235, 800, 786, 225, 197, 133, 075, 098, 500, 101",-5.78125,,,
44,"401, 098, 180, 464, 000, 230, 767, 466, 015, 867, 000, 401, 753, 867, 943, 215, 786, 916, 401, 431, 235, 429, 786, 225, 197, 133, 075, 098, 035, 101",-5.7421875,,,
45,"401, 098, 180, 464, 000, 153, 767, 466, 015, 428, 000, 401, 753, 867, 943, 763, 370, 699, 401, 786, 301, 928, 786, 225, 197, 133, 075, 098, 035, 101",-5.703125,,,
46,"401, 098, 180, 464, 000, 153, 767, 466, 015, 428, 000, 401, 753, 867, 943, 763, 370, 699, 401, 786, 301, 928, 786, 225, 197, 133, 075, 098, 035, 101",-5.703125,,,
47,"401, 098, 180, 464, 000, 153, 767, 466, 015, 428, 000, 401, 753, 867, 943, 763, 370, 699, 401, 786, 301, 928, 786, 225, 197, 133, 075, 098, 035, 101",-5.703125,,,
48,"401, 098, 200, 464, 000, 153, 767, 285, 015, 867, 000, 370, 753, 867, 943, 786, 786, 045, 401, 786, 235, 959, 541, 225, 197, 133, 075, 098, 500, 101",-5.6953125,,,
49,"401, 098, 200, 464, 000, 153, 767, 285, 015, 867, 000, 370, 753, 867, 943, 786, 786, 045, 401, 786, 235, 959, 541, 225, 197, 133, 075, 098, 500, 101",-5.6953125,,,
50,"401, 098, 180, 464, 000, 153, 767, 466, 015, 867, 000, 401, 753, 867, 325, 763, 370, 229, 401, 786, 301, 757, 786, 225, 197, 133, 075, 098, 035, 101",-5.6875,-5.7578125,20,
51,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 401, 753, 867, 943, 763, 370, 370, 401, 786, 959, 757, 786, 225, 197, 133, 075, 098, 500, 101",-5.5859375,,,
52,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 401, 753, 867, 943, 763, 370, 370, 401, 786, 959, 757, 786, 225, 197, 133, 075, 098, 500, 101",-5.5859375,,,
53,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 401, 753, 867, 943, 763, 370, 370, 401, 786, 959, 757, 786, 225, 197, 133, 075, 098, 500, 101",-5.5859375,,,
54,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 401, 753, 867, 943, 763, 370, 370, 401, 786, 959, 757, 786, 225, 197, 133, 075, 098, 500, 101",-5.5859375,,,
55,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 401, 753, 867, 943, 763, 370, 370, 401, 786, 959, 757, 786, 225, 197, 133, 075, 098, 500, 101",-5.5859375,,,
56,"401, 098, 200, 446, 000, 153, 767, 285, 073, 428, 000, 370, 753, 867, 943, 786, 786, 370, 401, 786, 301, 959, 786, 225, 197, 133, 075, 098, 500, 101",-5.53125,,,
57,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 370, 949, 867, 943, 786, 786, 370, 401, 786, 301, 800, 786, 225, 197, 194, 075, 098, 035, 101",-5.4609375,,,
58,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 370, 949, 867, 943, 786, 786, 370, 401, 786, 301, 800, 786, 225, 197, 194, 075, 098, 035, 101",-5.4609375,,,
59,"401, 098, 200, 464, 000, 153, 767, 375, 073, 428, 000, 370, 279, 867, 943, 786, 786, 370, 401, 786, 301, 757, 993, 225, 197, 133, 075, 098, 035, 101",-5.453125,,,
60,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 370, 753, 867, 943, 786, 786, 370, 401, 786, 203, 959, 786, 225, 197, 133, 075, 098, 035, 101",-5.4296875,,,
61,"401, 098, 200, 464, 000, 153, 767, 132, 073, 428, 000, 370, 753, 867, 943, 786, 786, 370, 401, 786, 235, 931, 786, 225, 197, 227, 075, 098, 035, 101",-5.3984375,,,
62,"401, 098, 200, 464, 000, 153, 767, 132, 073, 428, 000, 370, 753, 867, 943, 786, 786, 370, 401, 786, 235, 931, 786, 225, 197, 227, 075, 098, 035, 101",-5.3984375,,,
63,"401, 098, 200, 464, 000, 153, 767, 132, 073, 428, 000, 370, 753, 867, 943, 786, 786, 370, 401, 786, 235, 931, 786, 225, 197, 227, 075, 098, 035, 101",-5.3984375,,,
64,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 370, 753, 867, 943, 786, 786, 370, 401, 786, 301, 757, 786, 225, 197, 133, 075, 098, 035, 101",-5.390625,,,
65,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 370, 753, 867, 943, 786, 786, 370, 401, 786, 301, 757, 786, 225, 197, 133, 075, 098, 035, 101",-5.390625,,,
66,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 370, 753, 867, 943, 786, 786, 370, 401, 786, 301, 757, 786, 225, 197, 133, 075, 098, 035, 101",-5.390625,,,
67,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 980, 370, 753, 958, 786, 786, 786, 370, 401, 786, 235, 959, 786, 225, 197, 133, 075, 098, 035, 101",-5.3515625,,,
68,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 980, 370, 753, 958, 786, 786, 786, 370, 401, 786, 235, 959, 786, 225, 197, 133, 075, 098, 035, 101",-5.3515625,,,
69,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 980, 370, 753, 958, 786, 786, 786, 370, 401, 786, 235, 959, 786, 225, 197, 133, 075, 098, 035, 101",-5.3515625,,,
70,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 980, 370, 753, 958, 786, 786, 786, 370, 401, 786, 235, 959, 786, 225, 197, 133, 075, 098, 035, 101",-5.3515625,,,
71,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 980, 370, 753, 958, 786, 786, 786, 370, 401, 786, 235, 959, 786, 225, 197, 133, 075, 098, 035, 101",-5.3515625,,,
72,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 511, 786, 225, 197, 227, 075, 098, 035, 101",-5.3125,,,
73,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 511, 786, 225, 197, 227, 075, 098, 035, 101",-5.3125,,,
74,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 000, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 511, 786, 225, 197, 227, 075, 098, 035, 101",-5.3125,,,
75,"401, 098, 200, 464, 000, 153, 767, 127, 073, 428, 000, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 959, 786, 225, 197, 133, 075, 098, 035, 101",-5.3046875,-5.41015625,20,
76,"401, 098, 200, 464, 000, 153, 767, 127, 073, 428, 000, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 959, 786, 225, 197, 133, 075, 098, 035, 101",-5.3046875,,,
77,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 256, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 133, 075, 270, 035, 101",-5.2265625,,,
78,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 256, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 133, 075, 270, 035, 101",-5.2265625,,,
79,"401, 098, 200, 464, 000, 153, 767, 285, 073, 428, 500, 370, 375, 993, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 133, 075, 098, 035, 101",-5.2109375,,,
80,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 194, 075, 098, 072, 101",-5.171875,,,
81,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 194, 075, 098, 072, 101",-5.171875,,,
82,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 194, 075, 098, 072, 101",-5.171875,,,
83,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 753, 007, 786, 786, 786, 370, 401, 786, 301, 963, 786, 225, 197, 194, 075, 098, 035, 101",-5.140625,,,
84,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 753, 993, 786, 786, 786, 370, 401, 786, 301, 282, 786, 225, 197, 133, 075, 098, 035, 101",-5.1328125,,,
85,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 502, 993, 786, 786, 786, 370, 401, 786, 605, 135, 786, 225, 197, 227, 075, 098, 035, 101",-5.125,,,
86,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 753, 993, 786, 786, 786, 786, 401, 786, 301, 327, 786, 225, 197, 233, 075, 045, 900, 101",-5.0625,,,
87,"401, 098, 285, 464, 000, 153, 767, 927, 073, 428, 256, 370, 222, 007, 786, 786, 786, 370, 401, 786, 556, 135, 786, 225, 197, 133, 075, 098, 035, 101",-5.046875,,,
88,"401, 098, 285, 464, 000, 153, 767, 927, 073, 428, 256, 370, 222, 007, 786, 786, 786, 370, 401, 786, 556, 135, 786, 225, 197, 133, 075, 098, 035, 101",-5.046875,,,
89,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 943, 993, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 194, 075, 045, 900, 101",-5.0234375,,,
90,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 943, 993, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 194, 075, 045, 900, 101",-5.0234375,,,
91,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 722, 007, 786, 786, 786, 370, 401, 786, 375, 135, 786, 225, 197, 194, 075, 098, 035, 101",-4.9453125,,,
92,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 722, 007, 786, 786, 786, 370, 401, 786, 375, 135, 786, 225, 197, 194, 075, 098, 035, 101",-4.9453125,,,
93,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 722, 007, 786, 786, 786, 370, 401, 786, 375, 135, 786, 225, 197, 194, 075, 098, 035, 101",-4.9453125,,,
94,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 194, 075, 098, 035, 101",-4.8984375,,,
95,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 194, 075, 098, 035, 101",-4.8984375,,,
96,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 370, 401, 786, 301, 135, 786, 225, 197, 194, 075, 098, 035, 101",-4.8984375,,,
97,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 435, 007, 786, 786, 786, 786, 481, 786, 375, 135, 786, 225, 197, 194, 075, 098, 300, 101",-4.8046875,,,
98,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 435, 007, 786, 786, 786, 786, 481, 786, 375, 135, 786, 225, 197, 194, 075, 098, 300, 101",-4.8046875,,,
99,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 435, 007, 786, 786, 786, 786, 481, 786, 375, 135, 786, 225, 197, 194, 075, 098, 300, 101",-4.8046875,,,
100,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 435, 007, 786, 786, 786, 786, 481, 786, 375, 135, 786, 225, 197, 194, 075, 098, 300, 101",-4.8046875,-4.92578125,15,
101,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 435, 007, 786, 786, 786, 786, 481, 786, 375, 135, 786, 225, 197, 194, 075, 098, 300, 101",-4.8046875,,,
102,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 435, 007, 786, 786, 786, 786, 481, 786, 375, 135, 786, 225, 197, 194, 075, 098, 300, 101",-4.8046875,,,
103,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 435, 007, 786, 786, 786, 786, 481, 786, 375, 135, 786, 225, 197, 194, 075, 098, 300, 101",-4.8046875,,,
104,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 440, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 135, 786, 225, 197, 197, 075, 098, 900, 101",-4.78125,,,
105,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 440, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 135, 786, 225, 197, 197, 075, 098, 900, 101",-4.78125,,,
106,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 135, 786, 225, 197, 007, 200, 098, 035, 101",-4.7578125,,,
107,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 135, 786, 225, 197, 007, 200, 098, 035, 101",-4.7578125,,,
108,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 135, 786, 225, 197, 007, 200, 098, 035, 101",-4.7578125,,,
109,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 786, 401, 786, 375, 725, 786, 225, 197, 329, 075, 045, 900, 101",-4.75,,,
110,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 786, 401, 786, 375, 725, 786, 225, 197, 329, 075, 045, 900, 101",-4.75,,,
111,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 870, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 786, 786, 225, 197, 175, 075, 045, 900, 101",-4.7265625,,,
112,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 870, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 786, 786, 225, 197, 175, 075, 045, 900, 101",-4.7265625,,,
113,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 870, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 786, 786, 225, 197, 175, 075, 045, 900, 101",-4.7265625,,,
114,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 870, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 786, 786, 225, 197, 175, 075, 045, 900, 101",-4.7265625,,,
115,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 870, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 786, 786, 225, 197, 175, 075, 045, 900, 101",-4.7265625,,,
116,"401, 098, 200, 464, 000, 153, 767, 927, 073, 428, 870, 370, 477, 007, 786, 786, 786, 370, 401, 786, 375, 786, 786, 225, 197, 175, 075, 045, 900, 101",-4.7265625,,,
117,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 786, 225, 786, 375, 135, 786, 225, 197, 175, 075, 045, 900, 101",-4.6015625,,,
118,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 786, 225, 786, 375, 135, 786, 225, 197, 175, 075, 045, 900, 101",-4.6015625,,,
119,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 786, 225, 786, 375, 135, 786, 225, 197, 175, 075, 045, 900, 101",-4.6015625,,,
120,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 786, 225, 786, 375, 135, 786, 225, 197, 175, 075, 045, 900, 101",-4.6015625,,,
121,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 786, 225, 786, 375, 135, 786, 225, 197, 175, 075, 045, 900, 101",-4.6015625,,,
122,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 786, 225, 786, 375, 135, 786, 225, 197, 175, 075, 045, 900, 101",-4.6015625,,,
123,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 786, 225, 786, 375, 135, 786, 225, 197, 175, 075, 045, 900, 101",-4.6015625,,,
124,"401, 098, 200, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 786, 225, 786, 375, 135, 786, 225, 197, 175, 075, 045, 900, 101",-4.6015625,,,
125,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,-4.67578125,13,
126,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
127,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
128,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
129,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
130,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
131,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
132,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
133,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
134,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
135,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
136,"401, 098, 140, 587, 000, 153, 767, 927, 073, 428, 256, 370, 477, 007, 786, 786, 786, 225, 401, 401, 375, 786, 786, 225, 197, 007, 075, 045, 900, 101",-4.53125,,,
