rank,system_prompt,objective_score
58,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 132, 225, 143, 435, 007, 115, 230, 073",-2.4296875
59,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 486, 225, 143, 435, 007, 325, 230, 073",-2.4296875
60,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 215, 225, 143, 435, 007, 225, 230, 073",-2.4296875
61,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 293, 225, 143, 435, 007, 325, 230, 073",-2.4375
62,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 177, 225, 143, 435, 007, 953, 230, 073",-2.4375
63,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 922, 229, 953, 375, 225, 143, 435, 007, 953, 230, 073",-2.4375
64,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 953, 233, 225, 143, 435, 007, 225, 230, 073",-2.4375
65,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 473, 225, 143, 435, 007, 953, 230, 073",-2.4375
66,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 186, 225, 143, 435, 007, 225, 230, 073",-2.4453125
67,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 587, 229, 353, 375, 225, 143, 435, 007, 953, 230, 073",-2.453125
68,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 253, 353, 375, 225, 143, 435, 007, 035, 230, 073",-2.453125
69,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 157, 261, 143, 435, 007, 953, 230, 073",-2.4609375
70,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 251, 225, 143, 435, 007, 325, 230, 073",-2.4609375
71,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 232, 353, 853, 225, 143, 435, 007, 953, 230, 073",-2.46875
72,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 141, 225, 143, 435, 007, 225, 230, 073",-2.4921875
73,"007, 175, 120, 542, 000, 334, 767, 709, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 170, 225, 143, 435, 007, 953, 230, 073",-2.4921875
74,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 953, 229, 353, 299, 225, 143, 435, 007, 225, 230, 073",-2.4921875
75,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 170, 225, 143, 435, 007, 099, 230, 007",-2.5
76,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 320, 353, 232, 225, 143, 435, 007, 325, 230, 073",-2.515625
77,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 388, 353, 853, 225, 143, 435, 007, 953, 230, 073",-2.515625
78,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 579, 225, 143, 435, 007, 953, 230, 073",-2.5234375
79,"007, 175, 120, 542, 000, 334, 767, 702, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 983, 353, 375, 225, 143, 435, 007, 825, 230, 073",-2.5234375
80,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 953, 853, 225, 143, 435, 007, 953, 871, 073",-2.53125
81,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 151, 143, 435, 007, 953, 230, 073",-2.53125
82,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 304, 353, 232, 225, 143, 435, 007, 325, 230, 769",-2.53125
83,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 444, 229, 353, 571, 225, 143, 435, 007, 225, 230, 073",-2.5390625
84,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 135, 212, 229, 353, 329, 225, 143, 435, 007, 953, 230, 769",-2.5390625
85,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 847, 225, 143, 435, 007, 953, 230, 767",-2.5390625
86,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 225, 143, 435, 007, 953, 625, 073",-2.546875
87,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 345, 225, 143, 435, 007, 225, 290, 073",-2.5546875
88,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 302, 229, 353, 853, 225, 143, 435, 007, 953, 230, 073",-2.5546875
89,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 444, 229, 353, 375, 225, 143, 435, 007, 225, 715, 073",-2.5625
90,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 735, 953, 853, 225, 143, 435, 007, 953, 175, 073",-2.5625
91,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 379, 132, 225, 143, 435, 007, 953, 230, 073",-2.5625
92,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 258, 225, 143, 170, 007, 953, 230, 073",-2.5625
93,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 444, 007, 786, 786, 786, 370, 329, 197, 229, 353, 232, 225, 143, 435, 007, 325, 230, 073",-2.5703125
94,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 345, 225, 143, 435, 007, 903, 230, 767",-2.578125
95,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 676, 229, 353, 533, 225, 143, 435, 007, 225, 230, 073",-2.578125
96,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 170, 225, 143, 418, 007, 198, 230, 073",-2.5859375
97,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 225, 143, 435, 007, 325, 110, 073",-2.5859375
98,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 387, 229, 353, 375, 225, 143, 435, 007, 085, 230, 073",-2.59375
99,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 317, 353, 853, 225, 143, 435, 007, 953, 230, 073",-2.59375
100,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 254, 353, 375, 225, 130, 435, 007, 953, 230, 073",-2.59375
101,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 904, 353, 994, 225, 143, 435, 007, 953, 230, 073",-2.6015625
102,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 225, 143, 435, 007, 325, 144, 073",-2.609375
103,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 170, 225, 143, 377, 007, 953, 230, 073",-2.609375
104,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 060, 229, 353, 157, 225, 143, 435, 007, 953, 230, 073",-2.6171875
105,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 170, 753, 143, 435, 007, 197, 230, 073",-2.6171875
106,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 139, 409, 375, 225, 143, 435, 007, 099, 230, 073",-2.625
107,"007, 154, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 353, 353, 293, 225, 143, 435, 007, 325, 230, 073",-2.625
108,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 345, 225, 158, 435, 007, 304, 230, 073",-2.625
109,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 170, 225, 387, 435, 007, 953, 230, 073",-2.6328125
110,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 441, 225, 143, 435, 007, 225, 324, 073",-2.6328125
111,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 232, 225, 143, 435, 007, 325, 207, 073",-2.640625
112,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 225, 143, 435, 007, 953, 590, 073",-2.640625
113,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 953, 853, 225, 143, 415, 007, 175, 230, 073",-2.6484375
114,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 275, 983, 353, 845, 225, 143, 435, 007, 383, 230, 767",-2.6484375
115,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 132, 225, 143, 352, 007, 953, 230, 073",-2.6484375
116,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 426, 353, 305, 225, 143, 435, 007, 953, 230, 767",-2.6484375
117,"007, 175, 120, 542, 000, 334, 767, 260, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 375, 225, 143, 435, 007, 953, 230, 073",-2.65625
118,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 517, 143, 435, 007, 953, 230, 073",-2.65625
119,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 138, 225, 143, 435, 007, 532, 232, 073",-2.65625
120,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 659, 203, 953, 853, 225, 143, 435, 007, 953, 230, 329",-2.65625
121,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 531, 229, 353, 132, 225, 143, 435, 007, 487, 230, 073",-2.6640625
122,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 819, 353, 375, 225, 143, 435, 007, 112, 230, 073",-2.671875
123,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 305, 364, 143, 435, 007, 953, 230, 073",-2.671875
124,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 783, 229, 097, 227, 225, 143, 435, 007, 953, 230, 767",-2.671875
125,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 853, 225, 143, 435, 007, 953, 395, 073",-2.671875
126,"007, 175, 120, 542, 000, 334, 767, 448, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 281, 225, 143, 435, 007, 225, 230, 073",-2.671875
127,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 333, 353, 345, 225, 143, 435, 007, 610, 230, 767",-2.671875
128,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 125, 225, 143, 435, 007, 071, 230, 073",-2.671875
129,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 224, 229, 353, 473, 225, 143, 435, 007, 953, 230, 073",-2.671875
130,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 953, 885, 353, 853, 225, 143, 435, 007, 953, 720, 073",-2.671875
131,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 482, 353, 473, 225, 143, 921, 007, 953, 230, 073",-2.6875
132,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 485, 197, 229, 353, 170, 225, 143, 435, 007, 197, 230, 073",-2.6875
133,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 953, 229, 353, 170, 225, 143, 435, 007, 099, 230, 729",-2.6875
134,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 335, 225, 143, 753, 007, 953, 230, 073",-2.703125
135,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 841, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 382, 225, 143, 435, 007, 953, 230, 073",-2.703125
136,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 744, 225, 143, 435, 007, 909, 230, 767",-2.703125
137,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 953, 229, 353, 853, 225, 949, 435, 007, 953, 230, 073",-2.703125
138,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 329, 197, 078, 353, 122, 225, 143, 435, 007, 325, 230, 073",-2.7109375
139,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 529, 370, 477, 007, 786, 786, 786, 370, 329, 197, 229, 353, 227, 225, 143, 435, 007, 953, 230, 073",-2.7109375
140,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 899, 370, 477, 007, 786, 786, 786, 370, 329, 275, 229, 953, 132, 225, 143, 435, 007, 325, 230, 073",-2.7109375
141,"007, 175, 120, 542, 000, 334, 767, 957, 871, 428, 580, 370, 477, 007, 786, 786, 786, 370, 273, 197, 148, 353, 138, 225, 143, 435, 007, 953, 230, 767",-2.7109375
